019.9+00.9 |           3.22   78..1992
019.9+00.9 |           3.78   71..9065
020.2-00.6 |           0.7    71..9065
020.2-00.6 |           1.6    84..1511
020.7-05.9 |           8.02   CKS91
020.9-01.1 |           1.2    84..1511
020.9-01.1 |           1.75   CKS91
020.9-01.1 |           2.3    78..1992
020.9-01.1 |           2.67   71..9065
021.1-05.9 |           3.2    84..1511
021.1-05.9 |           5.37   78..1992
021.1-05.9 |           6.78   71..9065
021.1-05.9 |           9.68   CKS91
021.7-00.6 |           1.4    84..1511
021.7-00.6 |           3.13   78..1992
021.7-00.6 |           3.56   71..9065
021.8-00.4 |           0.9    84..1511
021.8-00.4 |           2.27   78..1992
021.8-00.4 |           2.8    71..9065
021.8-00.4 |           4.86   CKS91
022.0-03.1 |           2.10   84..4108
022.0-03.1 |           2.58   82...363
022.0-03.1 |           2.79   78..1992
022.0-03.1 |           3.4    84..1511
022.0-03.1 |           4.02   CKS91
022.0-03.1 |    2.6  - 3.4    71..9065
022.1-02.4 |           2.00   84..4108
022.1-02.4 |           2.16   78..1992
022.1-02.4 |           2.62   82...363
022.1-02.4 |           3.1    84..1511
022.1-02.4 |           3.9    CKS91
022.1-02.4 |    2.3  - 2.9    71..9065
023.8-01.7 |           7.36   CKS91
023.9-02.3 |           1.30   84..4108
023.9-02.3 |           1.45   82...363
023.9-02.3 |           2.14   78..1992
023.9-02.3 |           2.19   CKS91
023.9-02.3 |           2.5    84..1511
023.9-02.3 |           2.9    71..9065
023.9-02.3 |           5.44   76..9034
023.9-02.3 |           5.56   75..9002
024.1+03.8 |           1.6    84..1511
024.1+03.8 |           4.82   71..9065
024.1+03.8 |           5.43   CKS91
024.2+05.9 |           1.31   78..1992
024.2+05.9 |           1.46   71..9065
024.2+05.9 |           1.5    84..1511
024.2+05.9 |           1.78   CKS91
024.2-05.2 |           4.20   78..1992
024.3-03.3 |           3.2    84..1511
024.3-03.3 |           7.92   CKS91
024.3-03.3 |    3.9  - 6.1    71..9065
024.8-02.7 |           1.4    84..1511
024.8-02.7 |           4.35   78..1992
024.8-02.7 |           5.03   71..9065
024.8-02.7 |          12.0    CKS91
025.0-11.6 |           1.66   82...363
025.0-11.6 |           1.70   84..4108
025.0-11.6 |           1.71   CKS91
025.0-11.6 |           1.98   71..9065
025.0-11.6 |           3.1    84..1511
025.3+40.8 |           1.50   84..4108
025.3+40.8 |           1.95   78..1992
025.3+40.8 |           2.10   82...363
025.3+40.8 |           2.4    84..1511
025.3+40.8 |           3.11   76..9034
025.3+40.8 |           3.19   CKS91
025.3+40.8 |           3.30   75..9002
025.3+40.8 |           3.6    71..9065
025.3+40.8 |           3.76   84..1007
025.4-04.7 |           0.7    84..1511
025.4-04.7 |           1.02   CKS91
025.4-04.7 |           1.03   76..9034
025.4-04.7 |           1.05   84..4108
025.4-04.7 |           1.08   82...363
025.4-04.7 |           1.10   75..9002
025.4-04.7 |           1.25   78..1992
025.4-04.7 |    0.7  - 1.6    71..9065
025.8-17.9 |           0.95   84..4108
025.8-17.9 |           1.29   82...363
025.8-17.9 |           1.5    84..1511
025.8-17.9 |           1.6    78..1992
025.8-17.9 |           1.87   CKS91
025.8-17.9 |           2.07   75..9002
025.8-17.9 |           2.2    76..9034
025.8-17.9 |           4.1    71..9065
025.8-17.9 |           4.45   84..1007
025.9-00.9 |           0.9    84..1511
025.9-00.9 |           3.81   71..9065
025.9-02.1 |           1.9    84..1511
025.9-02.1 |           2.90   84..4108
025.9-02.1 |           3.66   82...363
025.9-02.1 |           8.17   CKS91
025.9-02.1 |    2.9  - 4.5    71..9065
026.0-01.8 |           1.4    84..1511
026.0-01.8 |           5.85   71..9065
026.0-01.8 |          10.5    CKS91
026.3-02.2 |           1.2    84..1511
026.3-02.2 |           3.27   71..9065
026.5-03.0 |           1.4    84..1511
026.5-03.0 |           5.10   71..9065
026.5-03.0 |          10.5    CKS91
027.3-02.1 |           1.5    84..1511
027.3-02.1 |           3.1    71..9065
027.3-02.1 |           3.56   CKS91
027.3-03.4 |           2.1    84..1511
027.3-03.4 |    1.8  - 3.2    71..9065
027.4-03.5 |          10.0    CKS91
027.6+04.2 |           1.43   CKS91
027.6-09.6 |           2.10   84..4108
027.6-09.6 |           2.84   78..1992
027.6-09.6 |           3.3    84..1511
027.6-09.6 |          11.1    76..9034
027.6-09.6 |          11.12   75..9002
027.6-09.6 |    9.7  -10.4    71..9065
027.7+00.7 |           1.40   84..4108
027.7+00.7 |           1.63   82...363
027.7+00.7 |           2.42   CKS91
027.7+00.7 |           2.5    84..1511
027.7+00.7 |           3.19   71..9065
028.2-04.0 |           2.30   84..4108
028.2-04.0 |           2.93   82...363
028.2-04.0 |           3.4    84..1511
028.2-04.0 |           5.55   71..9065
028.2-04.0 |           6.08   CKS91
028.5+01.6 |           0.8    84..1511
028.5+01.6 |           2.42   78..1992
028.5+01.6 |           2.92   71..9065
028.5+01.6 |           4.47   CKS91
028.5+05.1 |           2.50   84..4108
028.5+05.1 |           5.08   CKS91
028.7+02.7 |           6.06   CKS91
028.7-03.9 |           2.5    84..1511
028.7-03.9 |           2.70   84..4108
028.7-03.9 |           4.14   71..9065
028.7-03.9 |           5.07   CKS91
029.0+00.4 |           1.73   71..9065
029.0+00.4 |           1.8    84..1511
029.2-05.9 |           1.70   84..4108
029.2-05.9 |           1.90   84..1007
029.2-05.9 |           2.05   78..1992
029.2-05.9 |           2.56   76..9034
029.2-05.9 |           2.56   CKS91
029.2-05.9 |           2.57   71..9065
029.2-05.9 |           2.69   82...363
029.2-05.9 |           2.76   75..9002
029.2-05.9 |           2.8    84..1511
030.8+03.4 |           4.81   71..9065
030.8+03.4 |           5.5    84..1511
031.0+04.1 |           2.80   CKS91
031.0-10.8 |           4.4    84..1511
031.0-10.8 |           5.04   78..1992
