notRadio,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,n_RAh,F6cm,r_F6cm,F11cm,r_F11cm,l_z,z,Sp,n_Vmag,Vmag,B-V,U-B,Mabs,FC,r_Vmag,r_z,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s
--,MARK  423,11,26,48.5,--,35,15,4,O,0.01,191,--,--,--,0.032,S1.8,--,14.29,0.75,0.09,-21.4,1335,570,749,11,24,7.6,--,35,31,34
*,2QZ J112650-0127,11,26,50.7,-,1,27,33,O,--,--,--,--,--,0.635,S1,*,20.49,--,-0.7,-22.5,--,489,489,11,24,17.2,-,1,11,2
*,SDSS J11269+0219,11,26,58.1,--,2,19,58,O,--,2,--,--,--,0.021,S1,--,18.82,--,--,-16.7,--,--,2,11,24,23.9,--,2,36,29
*,SDSS J11270+0301,11,27,2.7,--,3,1,51,O,--,1,--,--,--,0.416,S1,--,19.49,--,--,-22.6,--,--,1,11,24,28.4,--,3,18,22
*,2QZ J112707-0029,11,27,8.0,-,0,29,28,O,--,--,--,--,--,0.544,S1,*,19.89,--,-1.2,-22.8,--,489,489,11,24,34.3,-,0,12,57
*,Q 1124+4641,11,27,13.4,--,46,25,24,--,--,--,--,--,--,0.106,--,R,18.37,--,--,-20.1,1795,--,1795,11,24,29.2,--,46,41,55
*,SDSS J11272-0043,11,27,16.0,-,0,43,41,O,--,2,--,--,--,0.221,S1,--,21.61,--,--,-19.1,--,--,2,11,24,42.3,-,0,27,10
--,RXS J11272+1909,11,27,16.2,--,19,9,20,--,--,157,--,--,--,0.105,S1.8,--,16.1,--,--,-22.9,157,--,157,11,24,39.0,--,19,25,51
*,SDSS J11272-0047,11,27,17.7,-,0,47,42,O,--,1,--,--,--,0.322,S1,--,19.97,--,--,-21.6,--,--,1,11,24,44.1,-,0,31,11
*,SDSS J11273+0301,11,27,19.5,--,3,1,6,O,--,2,--,--,--,0.093,S1,--,19.49,--,--,-19.3,--,--,2,11,24,45.2,--,3,17,37
