NUM,NGC/Other Cat.,NGC/IC,Con,RA,DEC,VMAG,BMAG,Stars,Size,Class,n
169,2489,NGC2489,Pup,07h 56m 15.9s,"-30? 03' 51""",7.9,,60,8,Praes,
170,2506,NGC2506,Mon,08h 00m 01.7s,"-10? 46' 11""",7.6,,80,8,Praes,
171,2509,NGC2509,Pup,08h 00m 47.8s,"-19? 03' 02""",9.3,,30,8,Plei,
172,2516,NGC2516,Car,07h 58m 07.1s,"-60? 45' 12""",3.8,,70,29,Praes,
173,,,Vel,08h 02m 49.0s,"-46? 23' 00""",0.6,,70,370,Plei,
174,2527,NGC2527,Pup,08h 04m 58.2s,"-28? 08' 48""",6.5,,40,22,Plei,
175,2533,NGC2533,Pup,08h 07m 04.1s,"-29? 53' 02""",7.6,,30¡À,3.5,Praes,
176,2539,NGC2539,Pup,08h 10m 37.9s,"-12? 49' 09""",6.5,,65,21,Praes,
177,2547,NGC2547,Vel,08h 10m 10.5s,"-49? 13' 32""",4.7,,40,20,Plei,
178,2546,NGC2546,Pup,08h 12m 15.6s,"-37? 35' 39""",6.3,,40,40,Plei,
179,2548 (M48),NGC2548,Hya,08h 13m 43.1s,"-05? 45' 02""",5.8,,90,54,Praes,
180,2567,NGC2567,Pup,08h 18m 29.1s,"-30? 38' 44""",7.4,,40,10,Plei,
181,2571,NGC2571,Pup,08h 18m 56.3s,"-29? 44' 57""",7,,20,13,Plei,
182,2579,NGC2579,Pup,08h 20m 53.0s,"-36? 13' 02""",7.5,,14,10,Plei,16
183,2580,NGC2580,Pup,08h 21m 27.9s,"-30? 17' 36""",9.7,,25,7,Praes,
184,2587,NGC2587,Pup,08h 23m 24.1s,"-29? 30' 31""",9.2,,18,9,Plei,
185,,,Pup,08h 22m 30.0s,"-36? 10' 00""",7.8,,15,8,Plei,
186,2588,NGC2588,Pup,08h 23m 09.5s,"-32? 58' 31""",11.8,,(20+),2,Praes,
187,,,Pup,08h 24m 12.0s,"-29? 09' 00""",,9.6,(20),7,Plei,
188,2627,NGC2627,Pyx,08h 37m 14.9s,"-29? 57' 01""",8.4,,30,11,Praes,
189,2632 (M44),NGC2632,Cnc,08h 40m 22.2s,"+19? 40' 19""",3.1,,60,95,Praes,
190,2635,NGC2635,Pyx,08h 38m 26.0s,"-34? 46' 18""",11.2,,(15),3,Praes,
191,IC2391,IC2391,Vel,08h 40m 21.0s,"-53? 05' 21""",2,,15,60,Plei,17
192,IC2395,IC2395,Vel,08h 42m 31.0s,"-48? 06' 30""",4,,19,7,Plei,
193,2660,NGC2660,Vel,08h 42m 38.0s,"-47? 12' 02""",8.8,,(70),4,Glob,
194,2659,NGC2659,Vel,08h 42m 33.0s,"-45? 00' 02""",8.6,,35,2.7,Praes,
195,2658,NGC2658,Pyx,08h 43m 27.3s,"-32? 39' 22""",9.2,,40,12,Praes,
196,,,Pyx,08h 45m 00.0s,"-31? 38' 00""",,10.5,(12),5,Praes,
197,,,Vel,08h 44m 51.0s,"-41? 14' 00""",,6.7,14,40,Plei,
198,,,Pyx,08h 45m 18.0s,"-31? 46' 00""",11.2,11.2,nl,5,Praes,
199,2669,NGC2669,Vel,08h 46m 19.0s,"-52? 56' 06""",6.1,,25,12,Praes,18
200,2670,NGC2670,Vel,08h 45m 29.5s,"-48? 47' 30""",7.8,,25,9,Plei,
201,2671,NGC2671,Vel,08h 46m 11.9s,"-41? 52' 38""",11.6,,(40),4,Praes,
202,Harv.3,,Vel,08h 46m 30.0s,"-52? 54' 00""",,6.1,22,12,Plei,18
203,Tr.10,,Vel,08h 47m 54.0s,"-42? 27' 00""",5,,18,29,Plei,
