Name,Type,Class,RA 2000,Decl 2000,Size,PA,V Mag,B Mag,Surf Br,Con,NGC,WH
NGC 3286,GX,E:,10 36 21.3,+58 37 13,0.8x0.5,,13.6,14.6z,12.5,UMa,"vF,pS,R,pslbM",III 917
NGC 3299,GX,Sdm,10 36 23.8,+12 42 24,2.2x1.7,3.0,12.8,14.1z,14.1,Leo,"eF,cL,R,vgbM,r",III 54
NGC 3288,GX,Sbc,10 36 25.8,+58 33 23,1.1x0.9,175.0,14.0,15.0z,13.8,UMa,"eF,cS,R,vglbM",III 918
NGC 3300,GX,SBa,10 36 38.5,+14 10 15,1.9x1.0,173.0,12.1,13.4z,12.7,Leo,"cF,cS,R,pmbM,r,am B st",III 55
NGC 3301,GX,Sa,10 36 56.0,+21 52 55,3.5x1.0,52.0,11.4,12.3,12.7,Leo,"cB,S,lE 53,psbM,r",II 46
NGC 3303,GX,Sp,10 37 00.0,+18 08 09,3.5x2.4,,13.5,14.5z,15.6,Leo,"vF,vS,vlE,glbM,r",III 66
NGC 3298,GX,E-S0,10 37 12.3,+50 07 15,0.9x0.6,138.0,14.0,14.8,13.4,UMa,"vF,pS,iE",III 767
NGC 3304,GX,SBa,10 37 37.9,+37 27 20,1.7x0.6,158.0,13.4,14.4z,13.2,LMi,"vF,cS,psbM,er",III 615
NGC 3310,GX,Sbcp,10 38 45.8,+53 30 10,3.1x2.4,,10.8,11.2,12.8,UMa,"cB,pL,R,vg,vsmbMN 15''",IV 60
NGC 3319,GX,Sc,10 39 09.3,+41 41 14,6.2x3.4,37.0,11.1,11.5,14.2,UMa,"cF,L,mE",III 700
NGC 3320,GX,Sc,10 39 36.6,+47 23 53,2.2x1.0,20.0,12.3,13.0,13.0,UMa,"F,pS,mE,*10 nf",II 745
NGC 3327,GX,Sb,10 39 58.1,+24 05 29,1.1x0.9,85.0,13.4,14.2,13.1,LMi,"vF,S,R,gbM,vS* att",II 348
NGC 3332,GX,S0,10 40 28.4,+09 10 57,1.4x1.4,,12.3,13.3,13.0,Leo,"vF,S,lE 130",I 272?
NGC 3342,Dup,,10 40 28.4,+09 10 57,,,,,,Leo,"eF,eS",III 5
NGC 3334,GX,S0:,10 41 31.2,+37 18 46,1.1x1.0,,12.8,13.9,12.8,LMi,"cF,vS,R,bM",II 641
NGC 3338,GX,Sbc,10 42 07.5,+13 44 49,5.9x3.6,100.0,11.1,11.6,14.2,Leo,"F,cL,E,vgbM,*7 p 10''",II 77
NGC 3344,GX,Sc,10 43 31.0,+24 55 20,7.1x6.5,,9.9,10.5,13.9,LMi,"cB,L,gbM,* inv,2 st f",I 81
NGC 3345,**,,10 43 31.9,+11 59 07,,,,,,Leo,eeF (if anything),I 26??
NGC 3346,GX,Sc,10 43 39.0,+14 52 19,2.9x2.5,,11.7,12.4,13.7,Leo,"cF,vL,R,vgvlbM,er",V 7
NGC 3356,GX,Sb,10 44 12.3,+06 45 32,1.7x0.8,102.0,13.3,13.8,13.5,Leo,"vF,pS,R,bM,*9 s 150''",III 107
NGC 3397,Dup,,10 44 39.4,+76 48 35,,,,,,Dra,"cB,vS,iF",I 284
NGC 3353,GX,S,10 45 22.4,+55 57 37,1.3x1.0,45.0,12.8,13.2,12.9,UMa,"F,cS,R,pgbM,* s 90''",III 842
NGC 3343,GX,E3,10 46 10.4,+73 21 10,1.3x0.9,55.0,13.4,14.4,13.6,Dra,"pF,S,R,gbM",III 317
NGC 3367,GX,SBc,10 46 34.8,+13 45 02,2.5x2.2,,11.5,12.1,13.2,Leo,"pB,cL,iR,vglbM,r,1st of 3",II 78
NGC 3359,GX,SBc,10 46 36.7,+63 13 28,7.2x4.4,170.0,10.6,11.0,14.2,UMa,"pB,L,E 0,glbM",V 52
NGC 3370,GX,Sc,10 47 04.0,+17 16 24,3.2x1.8,148.0,11.6,12.3,13.3,Leo,"cB,pL,vlE,gbM,r",II 81
NGC 3348,GX,E1,10 47 10.1,+72 50 22,2.0x2.0,,11.1,12.2,12.7,UMa,"B,S,ilE,psbM,*11 282°,21''",I 80
NGC 3377,GX,E5,10 47 42.3,+13 59 08,5.2x3.0,35.0,10.4,11.2,13.4,Leo,"vB,cL,lE,svmbMBN",II 99
NGC 3379,GX,E1,10 47 49.7,+12 34 57,5.4x4.8,,9.3,10.2,12.8,Leo,"vB,cL,R,psbM,r",I 17
NGC 3374,GX,SBc,10 48 01.1,+43 11 11,1.2x0.9,142.0,13.7,13.6,13.7,UMa,"vF,cS,iR",III 701
NGC 3380,GX,SBa,10 48 12.2,+28 36 06,1.7x1.3,,12.5,13.4,13.2,LMi,"pB,pS,R,sbM",II 360
NGC 3384,GX,E7,10 48 17.0,+12 37 49,5.5x2.5,53.0,9.9,10.9,12.6,Leo,"vB,L,R,psmbM,2nd of 3",I 18
NGC 3381,GX,SBp,10 48 25.0,+34 42 43,2.0x1.9,,11.7,12.7,13.0,LMi,"pF,cL,iR,vglbM",II 565
NGC 3389,GX,Sc,10 48 28.0,+12 31 59,2.8x1.3,112.0,11.9,12.4,13.2,Leo,"F,L,E pf,vglbM,3rd of 3",II 41
NGC 3364,GX,Sbc,10 48 29.7,+72 25 30,1.5x1.5,,12.8,13.5,13.5,UMa,"vF,L,R,vgbM,r,D* sf",III 318
NGC 3395,GX,Sc,10 49 50.1,+32 58 58,2.1x1.2,50.0,12.1,12.4,12.9,LMi,"cB,pS,ilE,1st of 2",I 116
NGC 3396,GX,P,10 49 55.2,+32 59 27,3.1x1.2,100.0,12.1,12.6,13.4,LMi,"pB,pS,ilE,2nd of 2",I 117
NGC 3411,GX,E,10 50 26.1,-12 50 43,2.1x2.1,,11.9,12.9,13.5,Hya,"F,S,R,lbM",III 522
NGC 3394,GX,Sc,10 50 39.9,+65 43 38,1.9x1.4,35.0,12.4,13.1,13.3,UMa,"cF,S,lE,vgbM",II 872
NGC 3400,GX,SBa,10 50 45.5,+28 28 09,1.3x0.8,100.0,13.2,14.1,13.2,LMi,"pF,S,R,bM",II 361
NGC 3412,GX,E5,10 50 53.3,+13 24 43,3.6x2.0,155.0,10.5,11.5,12.6,Leo,"B,S,lE 135,smbMN",I 27
NGC 3401,NF,,10 50.4,+05 48,,,,,,Sex,eF (not verified),III 88I
NGC 3392,GX,E,10 51 03.0,+65 46 53,0.8x0.6,105.0,13.7,14.7,12.8,UMa,"vF,S,psbM,st nr",III 88I
NGC 3423,GX,Sc,10 51 14.3,+05 50 24,3.8x3.2,10.0,11.1,11.6,13.7,Sex,"F,vL,R,vgbM,rr",IV 6=II 131
NGC 3414,GX,SBa,10 51 16.3,+27 58 30,3.5x2.6,20.0,11.0,12.0,13.3,LMi,"B,pL,R,mbM",II 362
NGC 3413,GX,S0,10 51 20.8,+32 45 58,2.2x0.9,178.0,12.1,13.1,12.7,LMi,"F,S",II 493
NGC 3418,GX,S0,10 51 24.0,+28 06 43,1.4x1.1,75.0,13.2,14.1,13.5,LMi,"cF,S,R,bM",II 363
NGC 3425,GX,S0,10 51 25.5,+08 34 01,1.0x1.0,,13.1,14.1,13.0,Leo,"eF,eS,R",III 108
NGC 3398,GX,Sc,10 51 31.5,+55 23 27,1.0x0.3,78.0,13.6,14.6,12.2,UMa,"vF,S,E,er",III 792
NGC 3415,GX,E4,10 51 42.7,+43 42 44,2.1x1.3,10.0,12.6,13.5,13.6,UMa,"pB,S,vlE,stell,3 S st nr",II 718
NGC 3424,GX,SBb,10 51 46.7,+32 53 59,2.8x0.8,112.0,12.4,13.2,13.1,LMi,"pF,pL,lE,sp of 3",II 494
NGC 3434,GX,Sb,10 51 58.1,+03 47 31,2.1x1.9,5.0,12.1,12.9,13.4,Leo,"F,pS,R,vglbM",III 497
NGC 3433,GX,Sb,10 52 03.9,+10 08 54,3.5x3.2,50.0,11.6,12.3,14.1,Leo,"vF,vL,R,vgbM",III 20
NGC 3408,GX,Sc,10 52 11.7,+58 26 18,1.0x0.9,175.0,13.5,14.2,13.1,UMa,"vF,cS,R,2 pB st s",III 913
NGC 3430,GX,Sc,10 52 11.7,+32 56 59,4.0x2.2,30.0,11.6,12.2,13.8,LMi,"pB,L,iE,gbM,2nd of 3",I 118
NGC 3407,GX,S0,10 52 17.9,+61 22 46,1.4x0.7,15.0,13.6,14.6,13.5,UMa,"vF,vS,R,vS * nr",III 919
NGC 3432,GX,SBm,10 52 31.0,+36 37 09,6.8x1.5,38.0,11.3,11.7,13.6,LMi,"pB,pL,vmE 40,** close sp",I 172
NGC 3437,GX,Sb,10 52 35.7,+22 56 04,2.5x0.8,122.0,12.1,12.8,12.7,Leo,"pB,pL,lE 120,gbM",II 47
NGC 3440,GX,SBb,10 53 49.6,+57 07 08,2.1x0.5,48.0,13.2,14.0,13.1,UMa,"vF,S,lE",III 914
NGC 3403,GX,Sbc,10 53 55.1,+73 41 24,3.0x1.2,73.0,12.2,13.0,13.4,Dra,"pF,L,iE,vgbM.",II 335
NGC 3456,GX,SBc,10 54 03.2,-16 01 39,1.9x1.3,102.0,12.6,13.3,13.4,Crt,"eF,att to *12 f",IV 29
NGC 3451,GX,Sc,10 54 21.0,+27 14 22,1.7x0.8,50.0,13.0,13.6,13.2,LMi,"F,pL,vlE,vlbM",II 364
NGC 3455,GX,Sb,10 54 31.0,+17 17 04,2.5x1.5,80.0,12.0,12.8,13.3,Leo,"pF,S,E,gbM,r,sf of 2",II 82
NGC 3445,GX,Sc,10 54 35.9,+56 59 24,1.6x1.5,,12.6,12.9,13.4,UMa,"cB,pL,iR,vglbM,*10 nf 2'",I 267
NGC 3448,GX,P,10 54 39.0,+54 18 19,5.6x1.8,65.0,12.1,12.5,14.4,UMa,"B,pL,mE 67,gbM,edge on,in field of 44 U.Maj.",I 233
NGC 3435,GX,Sb,10 54 48.4,+61 17 23,1.9x1.2,35.0,13.2,14.0,14.0,UMa,"cF,pS,lE,vgbM",II 887
NGC 3462,GX,S0:,10 55 21.1,+07 41 48,1.7x1.2,60.0,12.2,13.2,12.9,Leo,"vF,vS,vlE,psbM",II 16
NGC 3458,GX,S0,10 56 01.5,+57 07 01,1.4x0.9,5.0,12.2,13.2z,12.3,UMa,"vB,vS,R,stellar",I 268
NGC 3468,GX,S0,10 57 31.2,+40 56 46,1.6x1.0,8.0,13.0,14.0,13.4,UMa,"F,eS,R,bM",III 632
NGC 3473,GX,SBb:,10 58 05.2,+17 07 27,1.1x1.0,40.0,13.6,14.4,13.6,Leo,"vF,E,bet 2 st",III 67
NGC 3475,GX,Sa,10 58 25.3,+24 13 34,1.7x1.1,65.0,13.1,14.0,13.7,Leo,"vF,R,gbM,*13 1' n (2' s?)",III 332
NGC 3470,GX,Sb,10 58 44.9,+59 30 39,1.4x1.2,170.0,13.2,14.1,13.7,UMa,"vF,S,R,vgbM",II 888
NGC 3471,GX,Sa,10 59 09.1,+61 31 51,1.7x0.8,14.0,12.5,13.2,12.8,UMa,"vF,S,R,bM",III 972
NGC 3478,GX,Sbc,10 59 27.3,+46 07 21,2.6x1.2,132.0,12.9,13.6,13.9,UMa,"eF,S,R",III 705
NGC 3465,GX,Sab,10 59 31.3,+75 11 29,1.3x1.1,171.0,13.5,14.4,13.8,Dra,"eF,pL,R,vglbM,** nf",III 967
NGC 3485,GX,Sbc,11 00 02.4,+14 50 28,2.3x2.0,,11.8,12.6,13.3,Leo,"F,L,R,glbM,r",II 100
NGC 3489,GX,E6,11 00 18.6,+13 54 04,3.5x2.0,70.0,10.3,11.1,12.3,Leo,"vB,pL,lE 80,smbMN",II 101
NGC 3486,GX,Sc,11 00 23.8,+28 58 30,7.1x5.2,80.0,10.5,11.1,14.3,LMi,"cB,cL,R,gmbM",I 87
NGC 3491,GX,E-S0,11 00 35.4,+12 09 42,0.9x0.9,,13.2,14.3,13.0,Leo,"eF,cS,R,bMN",III 21
NGC 3495,GX,Sb,11 01 16.3,+03 37 40,4.9x1.2,20.0,11.8,12.4,13.6,Leo,"vF,pL,mE",III 498
NGC 3488,GX,SBc,11 01 23.6,+57 40 39,1.9x1.3,175.0,12.9,13.6,13.7,UMa,"eF,vlE,pS,*13 s att",I 269
NGC 3498,***,,11 01 41.5,+14 21 04,,,,,,Leo,"eF,pL",III 75
NGC 3500,GX,Sab,11 01 51.4,+75 12 05,1.3x0.6,54.0,13.8,14.7,13.4,Dra,"vF & eF,Dneb,v near",III 967=III 968
NGC 3508,GX,Sb:p,11 02 59.7,-16 17 19,1.0x0.9,15.0,13.2,14.0,12.9,Crt,"F,S,bM,* 0'.5 nf",II 507
NGC 3523,GX,Sbc,11 03 06.3,+75 06 57,1.3x1.3,,12.9,13.7,13.3,Dra,"F,pL,lbM (place doubtful)",II 904
NGC 3499,GX,Ir,11 03 11.0,+56 13 18,0.8x0.7,,13.6,14.4,12.9,UMa,"vF,vS,stellar",III 793
NGC 3504,GX,Sb,11 03 11.2,+27 58 20,2.7x2.1,,11.0,11.7,12.8,LMi,"B,L,E,mbMN,rr,p of 2",I 88
NGC 3506,GX,Sc,11 03 12.9,+11 04 37,1.2x1.1,,12.5,13.2,12.6,Leo,"vF,cS,R,vgvlbM",III 22
NGC 3511,GX,Sc,11 03 23.7,-23 05 11,5.8x2.0,76.0,11.0,11.5,13.5,Crt,"vF,vL,mE",V 39
NGC 3507,GX,SBb,11 03 25.6,+18 08 08,3.4x2.9,110.0,10.9,11.7,13.3,Leo,"cF,pL,R,sbMS *,*9 att 25",IV 7
NGC 3510,GX,SBm,11 03 43.6,+28 53 06,4.0x0.8,163.0,12.2,12.7,13.3,LMi,"F,L,cE,*7,310,8'",II 365
NGC 3513,GX,SBc,11 03 46.0,-23 14 38,2.8x2.2,95.0,11.5,11.9,13.4,Crt,"vF,vL,mE",V 40
NGC 3512,GX,Sc,11 04 02.9,+28 02 12,1.6x1.5,,12.3,13.0,13.1,LMi,"F,pS,R,pgbM,f of 2",II 366
NGC 3509,GX,Sbcp,11 04 23.6,+04 49 43,2.1x1.0,40.0,12.7,13.5,13.4,Leo,"eF,S,lE?",III 598
NGC 3517,GX,Sb,11 05 36.9,+56 31 28,0.9x0.8,120.0,13.0,13.8z,12.5,UMa,"eF,S,R,vgbM",II 884
NGC 3521,GX,Sbc,11 05 49.2,-00 02 02,11.0x5.1,163.0,9.0,9.8,13.2,Leo,"cB,cL,mE 140,vsmbMN",I 13
NGC 3524,GX,S0-a,11 06 32.1,+11 23 08,1.6x0.5,14.0,12.8,13.8,12.4,Leo,"F,S,lE,psbM,2 st np in line",III 23
NGC 3516,GX,SB0,11 06 47.5,+72 34 07,1.7x1.3,45.0,11.7,12.5,12.5,UMa,"pB,vS,iR,psmbM *",II 336
NGC 3497,Dup,,11 07 18.1,-19 28 19,,,,,,Crt,"vF,vS,iR,glbM",III 824
NGC 3527,GX,SBa,11 07 18.2,+28 31 39,1.0x0.9,,13.7,14.6,13.5,UMa,"eF,S,*10 p 60''",III 350
NGC 3535,GX,Sa,11 08 34.0,+04 49 55,1.1x0.5,178.0,13.5,14.4,12.6,Leo,"cF,vS,R,bM,r",III 111
NGC 3530,GX,S:,11 08 40.4,+57 13 48,0.6x0.3,99.0,13.8,14.8,11.7,UMa,"vF,S,R,pgbM",III 915
NGC 3547,GX,SB,11 09 55.9,+10 43 14,1.9x0.9,7.0,12.8,13.2,13.3,Leo,"F,S,lE,vlbM",II 42
NGC 3550,GX,P,11 10 38.5,+28 46 04,1.1x1.0,,13.3,14.1,13.2,UMa,"F (var?),S,R,bM,*9 f 1',1st of 4",III 351
NGC 3552,GX,,11 10 42.9,+28 41 35,0.6x0.5,,14.6,15.1z,13.1,UMa,"eF,vS,forms Dneb w NGC 3552",III 352
NGC 3559,GX,Sp,11 10 45.2,+12 00 58,1.3x0.9,55.0,12.7,13.7,12.7,Leo,"eF,pS,lE,r",III 79
NGC 3543,GX,S,11 10 56.5,+61 20 49,1.3x0.2,8.0,14.1,14.8z,12.5,UMa,"eF,vS,E 0,r",III 920
NGC 3549,GX,Sb,11 10 56.8,+53 23 17,3.2x1.2,38.0,12.1,12.8,13.4,UMa,"cB,cL,cE 160",I 220
NGC 3567,GX,S0 pec,11 11 18.7,+05 50 10,0.9x0.7,132.0,13.3,14.2,12.6,Leo,"eF,R,sbM,r",III 89
NGC 3571,GX,Sa,11 11 30.3,-18 17 23,3.0x1.0,94.0,12.1,13.0,13.2,Crt,"pF,pL,iF,bM",II 819
NGC 3556,GX,Sc,11 11 31.8,+55 40 14,8.7x2.2,80.0,10.0,10.7,13.1,UMa,"cB,vL,vmE 79,pBM",V 46
NGC 3562,GX,E,11 12 58.7,+72 52 45,1.7x1.3,165.0,12.2,13.2,,Dra,"pF,pS,lE,gbM,*15,22,70''",II 337
NGC 3585,GX,E5,11 13 17.1,-26 45 18,4.7x2.6,107.0,9.9,10.9,12.6,Hya,"B,pL,E,vsmbMN,2 B st tri",II 269
NGC 3577,GX,SBa,11 13 44.9,+48 16 22,1.4x1.4,,13.4,14.3,14.0,UMa,"eF,vS,p of 2",III 723
NGC 3591,GX,SB0,11 14 03.3,-14 05 14,1.3x0.9,150.0,13.3,14.0,13.4,Crt,"vF,S,iR,lbM",III 529
NGC 3583,GX,SBc,11 14 10.8,+48 19 06,2.8x1.8,125.0,11.1,11.9,12.7,UMa,"pB,pL,R,vgmbM",II 728
NGC 3593,GX,Sb,11 14 37.0,+12 49 03,5.2x1.9,92.0,10.9,11.9,13.3,Leo,"B,cL,E 90,psmbM",I 29
NGC 3596,GX,Sc,11 15 06.2,+14 47 13,4.0x3.8,,11.3,12.0,14.1,Leo,"pF,L,R,glbM",II 102
NGC 3589,GX,Sdm,11 15 13.4,+60 42 02,1.5x0.8,48.0,13.8,14.4,13.8,UMa,"vF,L,E,vgbM,in tri of L st",III 921
NGC 3595,GX,E:,11 15 25.5,+47 26 49,1.6x0.7,176.0,12.1,13.1,12.1,UMa,"vF,vS,vlE,stellar,cB* n",III 706
NGC 3599,GX,S0,11 15 27.0,+18 06 37,2.7x2.1,99.0,12.0,12.8,13.7,Leo,"B,pS,R,pgmbM",II 49
NGC 3600,GX,Sa,11 15 52.0,+41 35 28,4.1x0.9,3.0,11.7,12.6,12.9,UMa,"pF,S,lE 0,vgbM",II 709
NGC 3594,GX,SB0,11 16 14.0,+55 42 15,1.3x1.2,10.0,13.7,14.7,14.1,UMa,"vF,vS,stellar",III 770
NGC 3605,GX,E3,11 16 46.6,+18 01 01,1.5x1.0,17.0,12.3,13.1,12.8,Leo,"F,S,R,sp of 3",III 27
NGC 3607,GX,E1,11 16 54.7,+18 03 06,4.9x2.5,120.0,9.9,10.8,12.5,Leo,"vB,L,R,vmbM,2nd of 3",II 50
NGC 3608,GX,E3,11 16 59.0,+18 08 55,3.2x2.6,75.0,10.8,11.7,13.0,Leo,"B,pL,R,psbM,3rd of 3",II 51
NGC 3604,Dup,,11 17 30.1,+04 33 19,,,,,,Leo,"pB,S,lE,mbM",II 626
NGC 3611,GX,Sa pec,11 17 30.1,+04 33 19,2.1x1.7,,12.1,12.8,13.4,Leo,"pF,cS,iR,psmbM,*10 np 3'",II 521
NGC 3615,GX,E,11 18 06.7,+23 23 50,1.4x0.9,40.0,12.8,13.8,13.1,Leo,"cF,vS,smbM,stellar,p of 2",III 333
NGC 3616,NF,,11 18 08.9,+14 45 53,,,,,,Leo,"eF,pL",III 76
NGC 3621,GX,Sc,11 18 16.0,-32 48 42,12.3x7.1,159.0,9.7,10.2,14.4,Hya,"cB,vL,E 160,am 4 st",I 241
NGC 3614,GX,Sc,11 18 21.3,+45 44 53,4.6x2.6,80.0,11.6,12.2,14.1,UMa,"F,pL,lE 90,glbM,r",II 729
NGC 3610,GX,E2p,11 18 25.3,+58 47 10,2.7x2.3,,10.8,11.7,12.8,UMa,"vB,pS,lE 90,vsvmbMSN",I 270
NGC 3618,GX,Sb,11 18 32.6,+23 28 08,0.9x0.8,175.0,13.6,14.4,13.1,Leo,"vF,S,f of 2",III 334
NGC 3613,GX,E5,11 18 36.0,+58 00 00,3.9x1.9,102.0,10.9,11.8,13.0,UMa,"vB,cL,mE 305,smbMN",I 271
NGC 3619,GX,Sa,11 19 21.6,+57 45 29,2.7x2.3,,11.5,12.5,13.4,UMa,"cB,cL,R,vgmbM",I 244
NGC 3626,GX,Sa,11 20 03.9,+18 21 24,2.7x1.9,157.0,11.0,11.8,12.6,Leo,"B,S,vlE,sbM",II 52
NGC 3632,Dup,,11 20 03.9,+18 21 24,,,,,,Leo,"pB,* inv",II 30
NGC 3622,GX,S:,11 20 12.5,+67 14 29,1.2x0.5,7.0,13.2,13.7,12.4,UMa,"pB,S,R,gbM",II 879
NGC 3628,GX,Sb,11 20 16.2,+13 35 22,14.8x3.0,104.0,9.5,10.3,13.4,Leo,"pB,vL,vmE 102",V 8
NGC 3630,GX,E7,11 20 17.0,+02 57 52,4.6x3.0,37.0,11.9,12.9,14.6,Leo,"pB,S,R,smbMN",II 32
NGC 3645,Dup,,11 20 17.0,+02 57 52,,,,,,Leo,"pB,S,E,bM",II 32
NGC 3636,GX,E0,11 20 25.1,-10 16 55,1.3x1.3,,12.4,13.3,13.0,Crt,"F,vS,R,lbM,*7 f,p of 2",II 550
NGC 3625,GX,Sb,11 20 31.2,+57 46 53,2.0x0.6,148.0,13.1,13.9,13.2,UMa,"F,S,lE 135",II 885
NGC 3629,GX,Scd,11 20 31.7,+26 57 49,2.3x1.6,30.0,12.1,12.8,13.4,Leo,"cF,L,R,vgvlbM",II 338
NGC 3637,GX,Sa,11 20 39.5,-10 15 27,1.6x1.5,,12.7,13.6,13.6,Crt,"F,vS,R,psbM,*7 p,f of 2",II 551
NGC 3631,GX,Sc,11 21 02.9,+53 10 10,5.0x4.8,,10.4,11.0,13.7,UMa,"pB,L,R,svmbMrN",I 226
NGC 3640,GX,E1,11 21 06.8,+03 14 05,4.0x3.2,100.0,10.4,11.4,13.2,Leo,"B,pL,R,psbM",II 338
NGC 3646,GX,Sbc pec ring ,11 21 43.1,+20 10 10,3.9x2.2,50.0,11.1,11.8,13.3,Leo,"cF,cL,lE,gbM,sp of 2",III 15
NGC 3649,GX,SBa,11 22 14.8,+20 12 30,1.2x0.6,140.0,13.7,14.6,13.2,Leo,"vF,pS,R,gbM,nf of 2",III 16
NGC 3642,GX,Sc,11 22 17.9,+59 04 28,5.4x4.5,105.0,11.2,11.7,14.5,UMa,"pB,pL,R,vgbM",I 245
NGC 3651,GX,E,11 22 26.3,+24 17 56,1.1x1.1,,13.2,14.2,13.4,Leo,"cF,vS,R,bM,np of 2",III 335
NGC 3653,GX,S0:,11 22 30.0,+24 16 45,0.9x0.6,85.0,13.6,14.6,12.8,Leo,"vF,vS,sf of 2",III 336
NGC 3652,GX,SBcp,11 22 39.0,+37 45 54,2.0x0.7,150.0,12.2,12.9,12.4,UMa,"pF,cL,lE,vgbM",II 775
NGC 3655,GX,S,11 22 54.7,+16 35 24,1.5x1.0,30.0,11.6,12.3,12.0,Leo,"pB,pS,iR,bM,r",I 5
NGC 3660,GX,SBbc,11 23 32.2,-08 39 31,2.9x2.2,110.0,11.9,13.1,13.7,Crt,"F,pL,iR,vgbM",II 635
NGC 3661,GX,S0+,11 23 38.4,-13 49 51,1.7x0.8,137.0,14.0,14.8,14.2,Crt,"F,S,R,stellar,p of 2",III 530
NGC 3656,GX,Irp,11 23 38.5,+53 50 32,1.6x1.6,7.0,12.5,13.3,13.4,UMa,"pB,S,R,vgbM,*12 p",II 782
NGC 3659,GX,SBcp,11 23 45.3,+17 49 04,2.1x1.1,60.0,12.3,12.8,13.0,Leo,"cF,S,lE,r",II 53
NGC 3662,GX,Sbp,11 23 45.6,-01 06 12,1.4x0.9,25.0,12.9,13.7,13.0,Leo,"vF,S,att to *13",IV 4
NGC 3657,GX,SBcp,11 23 55.6,+52 55 15,1.4x1.4,,12.4,13.1,13.1,UMa,"cF,vS,R,stellar",III 768
NGC 3658,GX,S0,11 23 58.3,+38 33 45,1.6x1.5,,12.2,13.2,13.0,UMa,"F,S,R,svmbMN = *14",IV 59
NGC 3654,GX,S,11 24 10.9,+69 24 47,1.2x0.6,27.0,12.7,13.7,12.3,UMa,"F,S,lE 15",II 880
NGC 3667,GX,Sbc,11 24 17.0,-13 51 26,1.5x1.0,85.0,12.7,13.5,12.4,Crt,"pF,pL,iR,vlbM",III 531
NGC 3666,GX,Sb,11 24 26.2,+11 20 31,4.4x1.2,100.0,12.0,12.7,13.7,Leo,"F,E 90,*6 f 34'',5' n",I 20
NGC 3665,GX,E2,11 24 43.7,+38 45 47,2.5x2.0,30.0,10.8,11.8,12.4,UMa,"cB,cL,iR,pgmbM",I 219
NGC 3670,GX,SB0-a,11 24 49.7,+23 56 43,1.1x0.7,35.0,13.5,14.5,13.0,Leo,"vF,vS,R",III 337
NGC 3672,GX,Sbc,11 25 02.5,-09 47 40,4.2x1.9,8.0,11.4,12.1,13.5,Crt,"pB,L,E 0,gbM",I 131
NGC 3669,GX,SBc,11 25 26.7,+57 43 17,2.2x0.5,153.0,12.4,13.1,12.5,UMa,"vF,pL,pmE 135,er",II 829
NGC 3668,GX,Sb,11 25 30.4,+63 26 46,1.7x1.3,137.0,12.3,13.1,13.1,UMa,"F,pS,iR,gbM,*9 np",II 845
NGC 3671,GX,C,11 25 52.5,+60 28 46,0.5x0.4,10.0,14.6,15.7z,,UMa,"vF,vS,2 vS st inv",III 922
NGC 3675,GX,Sab,11 26 07.8,+43 35 06,5.9x3.1,178.0,10.2,11.0,13.2,UMa,"vB,cL,vmE 0,vsmbMN,many st p",I 194
NGC 3679,GX,Sbc,11 26 08.6,-05 35 09,1.0x0.5,178.0,,14.2,,Leo,"eF,cL,R,r,v nr vB*",III 112
NGC 3674,GX,S0,11 26 26.6,+57 02 54,1.9x0.6,33.0,12.2,13.2,12.4,UMa,"pF,iF",II 886
NGC 3681,GX,Sbc,11 26 29.8,+16 51 48,2.5x2.0,170.0,11.2,11.9,12.8,Leo,"B,pS,R,bM",II 159
NGC 3683,GX,SBc,11 27 32.0,+56 52 37,1.9x0.7,128.0,12.5,13.2,12.6,UMa,"cB,pL,E",I 246
NGC 3682,GX,Sa,11 27 41.2,+66 35 23,1.7x1.1,95.0,12.5,13.3,13.0,Dra,"cB,S,iR,spmbMN",I 262
NGC 3686,GX,SBc,11 27 44.1,+17 13 26,3.2x2.5,15.0,11.3,11.9,13.5,Leo,"pB,L,vlE,vgbM,r",II 160=III 28
NGC 3687,GX,Sbc,11 28 00.6,+29 30 39,1.9x1.9,,12.0,12.8,13.3,UMa,"pB,pS,R,lbM,r",II 770
NGC 3691,GX,SBb,11 28 09.4,+16 55 11,1.3x1.0,15.0,11.8,12.6,12.0,Leo,"F,pS,lE,r",II 54
NGC 3689,GX,Sc,11 28 11.0,+25 39 41,1.7x1.1,97.0,12.3,13.0,12.9,Leo,"pB,pL,lE,bM",II 339
NGC 3693,GX,Sb:,11 28 11.5,-13 11 41,3.7x0.8,85.0,12.3,13.1,13.3,Crt,"cF,S,E,gbM",III 532
NGC 3692,GX,Sb,11 28 24.0,+09 24 27,3.2x0.7,95.0,12.1,12.9,12.9,Leo,"F,mE,r",II 152
NGC 3690,GX,IBmp,11 28 31.9,+58 33 45,2.0x1.5,50.0,11.5,12.0,12.6,UMa,"pB,pS,vlE 80,pgbM,S st sf nr",I 247
NGC 3701,GX,Sbc,11 29 28.9,+24 05 36,1.9x0.9,145.0,12.9,13.5,13.4,Leo,"pF,pL,lE",II 349
NGC 3705,GX,Sb,11 30 07.4,+09 16 37,4.9x2.0,122.0,11.1,11.9,13.4,Leo,"pF,pL,R,vsmbM,r",II 13
NGC 3710,GX,E,11 31 07.0,+22 46 05,1.0x0.8,105.0,13.1,14.1,12.8,Leo,"F,S,*7-8 nf 5'",II 350
